ID #,State #,District #,State,First Name,Last Name,Party,State and District,Year Entering Congress,Birth Date,Chamber,Gender,Twitter Account,Facebook Account,Wikipedia Data,Congress.gov
24,5,3,California,John,Garamendi,Democratic,California 3,2009,"January 24, 1945",Representative,Male,https://www.twitter.com/RepGaramendi,https://www.facebook.com/repgaramendi/,https://en.wikipedia.org/wiki/John_Garamendi,https://www.congress.gov/member/john-garamendi/G000559
25,5,4,California,Tom,McClintock,Republican,California 4,2009,"July 10, 1956",Representative,Male,https://www.twitter.com/RepMcClintock,https://www.facebook.com/Congressman-Tom-McClintock-81125319109/,https://en.wikipedia.org/wiki/Tom_McClintock,https://www.congress.gov/member/tom-mcclintock/M001177
26,5,5,California,Mike,Thompson,Democratic,California 5,1999,"January 24, 1951",Representative,Male,https://www.twitter.com/RepThompson,https://www.facebook.com/RepMikeThompson/,https://en.wikipedia.org/wiki/Mike_Thompson_(California_politician),https://www.congress.gov/member/mike-thompson/T000460
27,5,6,California,Doris,Matsui,Democratic,California 6,2005,"September 25, 1944",Representative,Female,https://www.twitter.com/DorisMatsui,https://www.facebook.com/doris.matsui/,https://en.wikipedia.org/wiki/Doris_Matsui,https://www.congress.gov/member/doris-matsui/M001163
28,5,7,California,Ami,Bera,Democratic,California 7,2013,"March 2, 1965",Representative,Male,https://www.twitter.com/RepBera,https://www.facebook.com/RepAmiBera/,https://en.wikipedia.org/wiki/Ami_Bera,https://www.congress.gov/member/ami-bera/B001287
29,5,8,California,Paul,Cook,Republican,California 8,2013,"March 3, 1943",Representative,Male,https://www.twitter.com/RepPaulCook,https://www.facebook.com/electpaulcook/,https://en.wikipedia.org/wiki/Paul_Cook_(politician),https://www.congress.gov/member/paul-cook/C001094
30,5,9,California,Jerry,McNerney,Democratic,California 9,2007,"June 18, 1951",Representative,Male,https://www.twitter.com/RepMcNerney,https://www.facebook.com/jerrymcnerney/,https://en.wikipedia.org/wiki/Jerry_McNerney,https://www.congress.gov/member/jerry-mcnerney/M001166
31,5,10,California,Jeff,Denham,Republican,California 10,2011,"July 29, 1967",Representative,Male,https://www.twitter.com/RepJeffDenham,https://www.facebook.com/RepJeffDenham/,https://en.wikipedia.org/wiki/Jeff_Denham,https://www.congress.gov/member/jeff-denham/D000612
32,5,11,California,Mark,DeSaulnier,Democratic,California 11,2015,"March 31, 1952",Representative,Male,https://www.twitter.com/RepDeSaulnier,https://www.facebook.com/RepMarkDeSaulnier/,https://en.wikipedia.org/wiki/Mark_DeSaulnier,https://www.congress.gov/member/mark-desaulnier/D000623
33,5,12,California,Nancy,Pelosi,Democratic,California 12,1987,"March 26, 1940",Representative,Female,https://www.twitter.com/NancyPelosi,https://www.facebook.com/NancyPelosi/,https://en.wikipedia.org/wiki/Nancy_Pelosi,https://www.congress.gov/member/nancy-pelosi/P000197
34,5,13,California,Barbara,Lee,Democratic,California 13,1998,"July 16, 1946",Representative,Female,https://www.twitter.com/RepBarbaraLee,https://www.facebook.com/RepBarbaraLee/,https://en.wikipedia.org/wiki/Barbara_Lee,https://www.congress.gov/member/barbara-lee/L000551
35,5,14,California,Jackie,Speier,Democratic,California 14,2008,"May 14, 1950",Representative,Female,https://www.twitter.com/RepSpeier,https://www.facebook.com/JackieSpeier/,https://en.wikipedia.org/wiki/Jackie_Speier,https://www.congress.gov/member/jackie-speier/S001175
36,5,15,California,Eric,Swalwell,Democratic,California 15,2013,"November 16, 1980",Representative,Male,https://www.twitter.com/RepSwalwell,https://www.facebook.com/CongressmanEricSwalwell/,https://en.wikipedia.org/wiki/Eric_Swalwell,https://www.congress.gov/member/eric-swalwell/S001193
37,5,16,California,Jim,Costa,Democratic,California 16,2005,"April 13, 1952",Representative,Male,https://www.twitter.com/RepJimCosta,https://www.facebook.com/RepJimCosta/,https://en.wikipedia.org/wiki/Jim_Costa,https://www.congress.gov/member/jim-costa/C001059
38,5,17,California,Ro,Khanna,Democratic,California 17,2017,"September 13, 1976",Representative,Male,https://www.twitter.com/RepRoKhanna,https://www.facebook.com/RoKhannaUSA/,https://en.wikipedia.org/wiki/Ro_Khanna,https://www.congress.gov/member/ro-khanna/K000389
39,5,18,California,Anna,Eshoo,Democratic,California 18,1993,"December 13, 1942",Representative,Female,https://www.twitter.com/RepAnnaEshoo,https://www.facebook.com/RepAnnaEshoo/,https://en.wikipedia.org/wiki/Anna_Eshoo,https://www.congress.gov/member/anna-eshoo/E000215
40,5,19,California,Zoe,Lofgren,Democratic,California 19,1995,"December 21, 1947",Representative,Female,https://www.twitter.com/RepZoeLofgren,https://www.facebook.com/zoelofgren/,https://en.wikipedia.org/wiki/Zoe_Lofgren,https://www.congress.gov/member/zoe-lofgren/L000397
41,5,20,California,Jimmy,Panetta,Democratic,California 20,2017,"October 1, 1969",Representative,Male,https://www.twitter.com/RepJimmyPanetta,https://www.facebook.com/RepJimmyPanetta/,https://en.wikipedia.org/wiki/Jimmy_Panetta,https://www.congress.gov/member/jimmy-panetta/P000613
42,5,21,California,David,Valadao,Republican,California 21,2013,"April 14, 1977",Representative,Male,https://www.twitter.com/RepDavidValadao,https://www.facebook.com/CongressmanDavidValadao/,https://en.wikipedia.org/wiki/David_Valadao,https://www.congress.gov/member/david-valadao/V000129
43,5,22,California,Devin,Nunes,Republican,California 22,2003,"October 1, 1973",Representative,Male,https://www.twitter.com/DevinNunes,https://www.facebook.com/Congressman-Devin-Nunes-376470350795/,https://en.wikipedia.org/wiki/Devin_Nunes,https://www.congress.gov/member/devin-nunes/N000181
44,5,23,California,Kevin,McCarthy,Republican,California 23,2007,"January 26, 1965",Representative,Male,https://www.twitter.com/GOPLeader,https://www.facebook.com/kevinomccarthy/,https://en.wikipedia.org/wiki/Kevin_McCarthy_(California_politician),https://www.congress.gov/member/kevin-mccarthy/M001165
45,5,24,California,Salud,Carbajal,Democratic,California 24,2017,"November 18, 1964",Representative,Male,https://www.twitter.com/RepCarbajal,https://www.facebook.com/repsaludcarbajal/,https://en.wikipedia.org/wiki/Salud_Carbajal,https://www.congress.gov/member/salud-carbajal/C001112
46,5,25,California,Steve,Knight,Republican,California 25,2015,"December 17, 1966",Representative,Male,https://www.twitter.com/RepSteveKnight,https://www.facebook.com/RepresentativeSteveKnight/,https://en.wikipedia.org/wiki/Steve_Knight_(politician),https://www.congress.gov/member/stephen-knight/K000387
47,5,26,California,Julia,Brownley,Democratic,California 26,2013,"August 28, 1952",Representative,Female,https://www.twitter.com/JuliaBrownley26,https://www.facebook.com/RepJuliaBrownley/,https://en.wikipedia.org/wiki/Julia_Brownley,https://www.congress.gov/member/julia-brownley/B001285
48,5,27,California,Judy,Chu,Democratic,California 27,2009,"July 7, 1953",Representative,Female,https://www.twitter.com/RepJudyChu,https://www.facebook.com/RepJudyChu/,https://en.wikipedia.org/wiki/Judy_Chu,https://www.congress.gov/member/judy-chu/C001080
49,5,28,California,Adam,Schiff,Democratic,California 28,2001,"June 22, 1960",Representative,Male,https://www.twitter.com/RepAdamSchiff,https://www.facebook.com/RepAdamSchiff/,https://en.wikipedia.org/wiki/Adam_Schiff,https://www.congress.gov/member/adam-schiff/S001150
50,5,29,California,Tony,Cárdenas,Democratic,California 29,2013,"March 31, 1963",Representative,Male,https://www.twitter.com/RepCardenas,https://www.facebook.com/repcardenas/,https://en.wikipedia.org/wiki/Tony_Cárdenas,https://www.congress.gov/member/tony-cardenas/C001097
51,5,30,California,Brad,Sherman,Democratic,California 30,1997,"October 24, 1954",Representative,Male,https://www.twitter.com/BradSherman,https://www.facebook.com/CongressmanBradSherman/,https://en.wikipedia.org/wiki/Brad_Sherman,https://www.congress.gov/member/brad-sherman/S000344
52,5,31,California,Pete,Aguilar,Democratic,California 31,2015,"June 19, 1979",Representative,Male,https://www.twitter.com/RepPeteAguilar,https://www.facebook.com/reppeteaguilar/,https://en.wikipedia.org/wiki/Pete_Aguilar,https://www.congress.gov/member/pete-aguilar/A000371
53,5,32,California,Grace,Napolitano,Democratic,California 32,1999,"December 4, 1936",Representative,Female,https://www.twitter.com/GraceNapolitano,https://www.facebook.com/RepGraceNapolitano/,https://en.wikipedia.org/wiki/Grace_Napolitano,https://www.congress.gov/member/grace-napolitano/N000179
54,5,33,California,Ted,Lieu,Democratic,California 33,2015,"March 29, 1969",Representative,Male,https://www.twitter.com/RepTedLieu,https://www.facebook.com/tedlieu/,https://en.wikipedia.org/wiki/Ted_Lieu,https://www.congress.gov/member/ted-lieu/L000582
55,5,34,California,None,None,None,California 34,None,,Representative,,,,,
56,5,35,California,Norma,Torres,Democratic,California 35,2015,"April 4, 1965",Representative,Female,https://www.twitter.com/NormaJTorres,https://www.facebook.com/RepNormaTorres/,https://en.wikipedia.org/wiki/Norma_Torres,https://www.congress.gov/member/norma-torres/T000474
57,5,36,California,Raul,Ruiz,Democratic,California 36,2013,"August 25, 1972",Representative,Male,https://www.twitter.com/CongressmanRuiz,https://www.facebook.com/CongressmanRaulRuizMD/,https://en.wikipedia.org/wiki/Raul_Ruiz_(politician),https://www.congress.gov/member/raul-ruiz/R000599
58,5,37,California,Karen,Bass,Democratic,California 37,2011,"October 3, 1953",Representative,Female,https://www.twitter.com/RepKarenBass,https://www.facebook.com/RepKarenBass/,https://en.wikipedia.org/wiki/Karen_Bass,https://www.congress.gov/member/karen-bass/B001270
59,5,38,California,Linda,Sánchez,Democratic,California 38,2003,"January 28, 1969",Representative,Female,https://www.twitter.com/RepLindaSanchez,https://www.facebook.com/CongresswomanLindaSanchez/,https://en.wikipedia.org/wiki/Linda_Sánchez,https://www.congress.gov/member/linda-sanchez/S001156
60,5,39,California,Ed,Royce,Republican,California 39,1993,"October 12, 1951",Representative,Male,https://www.twitter.com/RepEdRoyce,https://www.facebook.com/EdRoyce/,https://en.wikipedia.org/wiki/Ed_Royce,https://www.congress.gov/member/ed-royce/R000487
61,5,40,California,Lucille,Roybal-Allard,Democratic,California 40,1993,"June 12, 1941",Representative,Female,https://www.twitter.com/RebRoybalAllard,https://www.facebook.com/RepRoybalAllard/,https://en.wikipedia.org/wiki/Lucille_Roybal-Allard,https://www.congress.gov/member/lucille-roybal-allard/R000486
62,5,41,California,Mark,Takano,Democratic,California 41,2013,"December 10, 1960",Representative,Male,https://www.twitter.com/RepMarkTakano,https://www.facebook.com/RepMarkTakano/,https://en.wikipedia.org/wiki/Mark_Takano,https://www.congress.gov/member/mark-takano/T000472
63,5,42,California,Ken,Calvert,Republican,California 42,1993,"June 8, 1953",Representative,Male,https://www.twitter.com/KenCalvert,https://www.facebook.com/CalvertforCongress/,https://en.wikipedia.org/wiki/Ken_Calvert,https://www.congress.gov/member/ken-calvert/C000059
64,5,43,California,Maxine,Waters,Democratic,California 43,1991,"August 15, 1938",Representative,Male,https://www.twitter.com/MaxineWaters,https://www.facebook.com/MaxineWaters/,https://en.wikipedia.org/wiki/Maxine_Waters,https://www.congress.gov/member/maxine-waters/W000187
65,5,44,California,Nanette,Barragán,Democratic,California 44,2017,"September 15, 1976",Representative,Female,https://www.twitter.com/RepBarragan,https://www.facebook.com/nanettebarraganforcongress/,https://en.wikipedia.org/wiki/Nanette_Barragán,https://www.congress.gov/member/nanette-barragan/B001300
66,5,45,California,Mimi,Walters,Republican,California 45,2015,"May 14, 1962",Representative,Female,https://www.twitter.com/RepMimiWalters,https://www.facebook.com/RepMimiWalters/,https://en.wikipedia.org/wiki/Mimi_Walters,https://www.congress.gov/member/mimi-walters/W000820
67,5,46,California,Lou,Correa,Democratic,California 46,2017,"January 24, 1958",Representative,Male,https://www.twitter.com/RepLouCorrea,https://www.facebook.com/LouCorreaCA/,https://en.wikipedia.org/wiki/Lou_Correa,https://www.congress.gov/member/j-correa/C001110
68,5,47,California,Alan,Lowenthal,Democratic,California 47,2013,"March 8, 1941",Representative,Male,https://www.twitter.com/RepLowenthal,https://www.facebook.com/RepLowenthal/,https://en.wikipedia.org/wiki/Alan_Lowenthal,https://www.congress.gov/member/alan-lowenthal/L000579
69,5,48,California,Dana,Rohrabacher,Republican,California 48,1989,"June 21, 1947",Representative,Female,https://www.twitter.com/DanaRohrabacher,https://www.facebook.com/danarohrabacher/,https://en.wikipedia.org/wiki/Dana_Rohrabacher,https://www.congress.gov/member/dana-rohrabacher/R000409
70,5,49,California,Darrell,Issa,Republican,California 49,2001,"November 1, 1953",Representative,Male,https://www.twitter.com/DarrellIssa,https://www.facebook.com/darrellissa/,https://en.wikipedia.org/wiki/Darrell_Issa,https://www.congress.gov/member/darrell-issa/I000056
71,5,50,California,Duncan,Hunter,Republican,California 50,2009,"December 7, 1976",Representative,Male,https://www.twitter.com/Rep_Hunter,https://www.facebook.com/DuncanHunter/,https://en.wikipedia.org/wiki/Duncan_D._Hunter,https://www.congress.gov/member/duncan-hunter/H001048
72,5,51,California,Juan,Vargas,Democratic,California 51,2013,"March 7, 1961",Representative,Male,https://www.twitter.com/RepJuanVargas,https://www.facebook.com/RepJuanVargas/,https://en.wikipedia.org/wiki/Juan_Vargas,https://www.congress.gov/member/juan-vargas/V000130
73,5,52,California,Scott,Peters,Democratic,California 52,2013,"June 17, 1958",Representative,Male,https://www.twitter.com/RepScottPeters,https://www.facebook.com/scottpeterssandiego/,https://en.wikipedia.org/wiki/Scott_Peters_(politician),https://www.congress.gov/member/scott-peters/P000608
74,5,53,California,Susan,Davis,Democratic,California 53,2001,"April 13, 1944",Representative,Female,https://www.twitter.com/RepSusanDavis,https://www.facebook.com/RepSusanDavis/,https://en.wikipedia.org/wiki/Susan_Davis_(politician),https://www.congress.gov/member/susan-davis/D000598
75,6,1,Colorado,Diana,DeGette,Democratic,Colorado 1,1997,"July 29, 1957",Representative,Female,https://www.twitter.com/RepDianaDeGette,https://www.facebook.com/DianaDeGette/,https://en.wikipedia.org/wiki/Diana_DeGette,https://www.congress.gov/member/diana-degette/D000197
76,6,2,Colorado,Jared,Polis,Democratic,Colorado 2,2009,"May 12, 1975",Representative,Male,https://www.twitter.com/JaredPolis,https://www.facebook.com/jaredpolis/,https://en.wikipedia.org/wiki/Jared_Polis,https://www.congress.gov/member/jared-polis/P000598
77,6,3,Colorado,Scott,Tipton,Republican,Colorado 3,2011,"November 9, 1956",Representative,Male,https://www.twitter.com/RepScottTipton,https://www.facebook.com/CongressmanScottTipton/,https://en.wikipedia.org/wiki/Scott_Tipton,https://www.congress.gov/member/scott-tipton/T000470
78,6,4,Colorado,Ken,Buck,Republican,Colorado 4,2015,"February 16, 1959",Representative,Male,https://www.twitter.com/RepKenBuck,https://www.facebook.com/buckforcolorado/,https://en.wikipedia.org/wiki/Ken_Buck,https://www.congress.gov/member/ken-buck/B001297
79,6,5,Colorado,Doug,Lamborn,Republican,Colorado 5,2007,"May 24, 1954",Representative,Male,https://www.twitter.com/RepDLamborn,https://www.facebook.com/CongressmanDougLamborn/,https://en.wikipedia.org/wiki/Doug_Lamborn,https://www.congress.gov/member/doug-lamborn/L000564
80,6,6,Colorado,Mike,Coffman,Republican,Colorado 6,2009,"March 19, 1955",Representative,Male,https://www.twitter.com/RepMikeCoffman,https://www.facebook.com/repmikecoffman/,https://en.wikipedia.org/wiki/Mike_Coffman,https://www.congress.gov/member/mike-coffman/C001077
81,6,7,Colorado,Ed,Perlmutter,Democratic,Colorado 7,2007,"May 1, 1953",Representative,Male,https://www.twitter.com/RepPerlmutter,https://www.facebook.com/RepPerlmutter/,https://en.wikipedia.org/wiki/Ed_Perlmutter,https://www.congress.gov/member/ed-perlmutter/P000593
82,7,1,Connecticut,John,Larson,Democratic,Connecticut 1,1999,"July 22, 1948",Representative,Male,https://www.twitter.com/RepJohnLarson,https://www.facebook.com/RepJohnLarson/,https://en.wikipedia.org/wiki/John_B._Larson,https://www.congress.gov/member/john-larson/L000557
83,7,2,Connecticut,Joe,Courtney,Democratic,Connecticut 2,2007,"April 6, 1953",Representative,Male,https://www.twitter.com/RepJoeCourtney,https://www.facebook.com/joecourtney/,https://en.wikipedia.org/wiki/Joe_Courtney_(politician),https://www.congress.gov/member/joe-courtney/C001069
84,7,3,Connecticut,Rosa,DeLauro,Democratic,Connecticut 3,1991,"March 2, 1943",Representative,Female,https://www.twitter.com/RosaDeLauro,https://www.facebook.com/CongresswomanRosaDeLauro/,https://en.wikipedia.org/wiki/Rosa_DeLauro,https://www.congress.gov/member/rosa-delauro/D000216
85,7,4,Connecticut,Jim,Himes,Democratic,Connecticut 4,2009,"July 5, 1966",Representative,Male,https://www.twitter.com/JaHimes,https://www.facebook.com/CongressmanJimHimes/,https://en.wikipedia.org/wiki/Jim_Himes,https://www.congress.gov/member/james-himes/H001047
86,7,5,Connecticut,Elizabeth,Esty,Democratic,Connecticut 5,2013,"August 25, 1959",Representative,Female,https://www.twitter.com/RepEsty,https://www.facebook.com/RepEsty/,https://en.wikipedia.org/wiki/Elizabeth_Esty,https://www.congress.gov/member/elizabeth-esty/E000293
87,8,1,Delaware At Large,Lisa,Blunt Rochester,Democratic,Delaware At Large,2017,"February 10, 1962",Representative,Female,https://www.twitter.com/RepBRochester,https://www.facebook.com/LisaBluntRochester/,https://en.wikipedia.org/wiki/Lisa_Blunt_Rochester,https://www.congress.gov/member/lisa-blunt-rochester/B001303
88,9,1,Florida,Matt,Gaetz,Republican,Florida 1,2017,"May 7, 1982",Representative,Male,https://www.twitter.com/Rep_Matt_Gaetz,https://www.facebook.com/RepresentativeMattGaetz/,https://en.wikipedia.org/wiki/Matt_Gaetz,https://www.congress.gov/member/matt-gaetz/G000578
89,9,2,Florida,Neal,Dunn,Republican,Florida 2,2017,"February 16, 1953",Representative,Male,https://www.twitter.com/drnealdunnfl2,https://www.facebook.com/DrNealDunnFL2/,https://en.wikipedia.org/wiki/Neal_Dunn,https://www.congress.gov/member/neal-dunn/D000628
90,9,3,Florida,Ted,Yoho,Republican,Florida 3,2013,"April 13, 1955",Representative,Male,https://www.twitter.com/RepTedYoho,https://www.facebook.com/CongressmanTedYoho/,https://en.wikipedia.org/wiki/Ted_Yoho,https://www.congress.gov/member/ted-yoho/Y000065
91,9,4,Florida,John,Rutherford,Republican,Florida 4,2017,"September 2, 1952",Representative,Male,https://www.twitter.com/JRutherfordFL,https://www.facebook.com/RepRutherfordFL/,https://en.wikipedia.org/wiki/John_Rutherford_(Florida_politician),https://www.congress.gov/member/john-rutherford/R000609
92,9,5,Florida,Al,Lawson,Democratic,Florida 5,2017,"September 21, 1948",Representative,Male,https://www.twitter.com/RepAlLawsonJr,https://www.facebook.com/AlLawsonJr/,https://en.wikipedia.org/wiki/Al_Lawson,https://www.congress.gov/member/al-lawson/L000586
93,9,6,Florida,Ron,DeSantis,Republican,Florida 6,2013,"September 14, 1978",Representative,Male,https://www.twitter.com/RepDeSantis,https://www.facebook.com/RepDeSantis/,https://en.wikipedia.org/wiki/Ron_DeSantis,https://www.congress.gov/member/ron-desantis/D000621
94,9,7,Florida,Stephanie,Murphy,Democratic,Florida 7,2017,"September 16, 1978",Representative,Female,https://www.twitter.com/RepStephMurphy,https://www.facebook.com/RepStephMurphy/,https://en.wikipedia.org/wiki/Stephanie_Murphy,https://www.congress.gov/member/stephanie-murphy/M001202
95,9,8,Florida,Bill,Posey,Republican,Florida 8,2009,"December 18, 1947",Representative,Male,https://www.twitter.com/CongBillPosey,https://www.facebook.com/billposeycampaign/,https://en.wikipedia.org/wiki/Bill_Posey,https://www.congress.gov/member/bill-posey/P000599
96,9,9,Florida,Darren,Soto,Democratic,Florida 9,2017,"February 25, 1978",Representative,Male,https://www.twitter.com/USRepSoto,https://www.facebook.com/sendarrensoto,https://en.wikipedia.org/wiki/Darren_Soto,https://www.congress.gov/member/darren-soto/S001200
97,9,10,Florida,Val,Demings,Democratic,Florida 10,2017,"March 12, 1957",Representative,Female,https://www.twitter.com/RepValDemings,https://www.facebook.com/val.demings/,https://en.wikipedia.org/wiki/Val_Demings,https://www.congress.gov/member/val-demings/D000627
98,9,11,Florida,Daniel,Webster,Republican,Florida 11,2011,"April 27, 1949",Representative,Male,https://www.twitter.com/RepWebster,https://www.facebook.com/RepWebster/,https://en.wikipedia.org/wiki/Daniel_Webster_(Florida_politician),https://www.congress.gov/member/daniel-webster/W000806
99,9,12,Florida,Gus,Bilirakis,Republican,Florida 12,2007,"February 8, 1963",Representative,Male,https://www.twitter.com/RepGusBillrakis,https://www.facebook.com/GusBilirakis/,https://en.wikipedia.org/wiki/Gus_Bilirakis,https://www.congress.gov/member/gus-bilirakis/B001257
100,9,13,Florida,Charlie,Crist,Democratic,Florida 13,2017,"July 24, 1956",Representative,Male,https://www.twitter.com/RepCharlieCrist,https://www.facebook.com/charliecrist/,https://en.wikipedia.org/wiki/Charlie_Crist,https://www.congress.gov/member/charlie-crist/C001111
101,9,14,Florida,Kathy,Castor,Democratic,Florida 14,2007,"August 20, 1966",Representative,Female,https://www.twitter.com/USRepKCastor,https://www.facebook.com/USRepKathyCastor/,https://en.wikipedia.org/wiki/Kathy_Castor,https://www.congress.gov/member/kathy-castor/C001066
102,9,15,Florida,Dennis,Ross,Republican,Florida 15,2011,"October 18, 1959",Representative,Male,https://www.twitter.com/RepDennisRoss,https://www.facebook.com/dennis.ross.376/,https://en.wikipedia.org/wiki/Dennis_A._Ross,https://www.congress.gov/member/dennis-ross/R000593
